"Step","12_sazut-tonat-zanohripok - episodic_return","12_sazut-tonat-zanohripok - episodic_return__MIN","12_sazut-tonat-zanohripok - episodic_return__MAX"
"919205","13","13","13"
"920716","13","13","13"
"921091","13","13","13"
"921241","13","13","13"
"921406","13","13","13"
"921881","1","1","1"
"923417","13","13","13"
"923708","13","13","13"
"923759","13","13","13"
"924198","13","13","13"
"924282","13","13","13"
"924555","13","13","13"
"925346","13","13","13"
"925489","13","13","13"
"925647","13","13","13"
"926906","13","13","13"
"927279","13","13","13"
"928113","13","13","13"
"928323","13","13","13"
"928697","13","13","13"
"929002","13","13","13"
"929265","13","13","13"
"929436","13","13","13"
"930108","13","13","13"
"930466","13","13","13"
"931523","13","13","13"
"932134","13","13","13"
"932555","13","13","13"
"932746","3","3","3"
"933851","2","2","2"
"934076","13","13","13"
"934374","13","13","13"
"934448","3","3","3"
"935171","13","13","13"
"936859","13","13","13"
"936942","2","2","2"
"937100","13","13","13"
"939301","13","13","13"
"939740","13","13","13"
"941074","13","13","13"
"943113","13","13","13"
"943180","13","13","13"
"943238","13","13","13"
"943314","13","13","13"
"943695","13","13","13"
"943946","13","13","13"
"945116","13","13","13"
"945649","13","13","13"
"945986","1","1","1"
"946138","13","13","13"
"946205","2","2","2"
"946378","13","13","13"
"946636","13","13","13"
"947257","13","13","13"
"947916","13","13","13"
"947994","13","13","13"
"948137","13","13","13"
"948445","13","13","13"
"950685","13","13","13"
"950830","13","13","13"
"951673","0","0","0"
"951845","13","13","13"
"952103","13","13","13"
"952324","13","13","13"
"953330","0","0","0"
"953500","13","13","13"
"953812","13","13","13"
"953860","13","13","13"
"954015","13","13","13"
"954887","3","3","3"
"955460","13","13","13"
"956294","13","13","13"
"956530","13","13","13"
"956585","13","13","13"
"957223","13","13","13"
"957447","13","13","13"
"957724","13","13","13"
"957772","13","13","13"
"958697","13","13","13"
"959149","13","13","13"
"959595","3","3","3"
"959911","13","13","13"
"960029","13","13","13"
"960734","13","13","13"
"961060","13","13","13"
"961484","13","13","13"
"961884","13","13","13"
"962299","13","13","13"
"963062","1","1","1"
"963229","13","13","13"
"963526","13","13","13"
"963806","13","13","13"
"964603","13","13","13"
"964918","13","13","13"
"965063","13","13","13"
"965752","13","13","13"
"966098","13","13","13"
"966364","13","13","13"
"966464","13","13","13"
"966581","3","3","3"
"966692","13","13","13"
"967324","13","13","13"
"968459","13","13","13"
"968663","13","13","13"
"969228","13","13","13"
"969478","13","13","13"
"969906","13","13","13"
"970340","13","13","13"
"971328","13","13","13"
"971445","2","2","2"
"971659","13","13","13"
"972024","13","13","13"
"972320","13","13","13"
"972501","2","2","2"
"972900","13","13","13"
"973255","13","13","13"
"973501","13","13","13"
"973653","13","13","13"
"974336","13","13","13"
"974539","13","13","13"
"974709","13","13","13"
"976395","13","13","13"
"977281","2","2","2"
"977580","13","13","13"
"977656","13","13","13"
"978276","13","13","13"
"978974","10","10","10"
"979784","13","13","13"
"980216","13","13","13"
"980374","2","2","2"
"980459","13","13","13"
"980929","13","13","13"
"982395","13","13","13"
"983005","10","10","10"
"983112","13","13","13"
"984285","13","13","13"
"984328","13","13","13"
"984721","13","13","13"
"984774","13","13","13"
"985264","13","13","13"
"986220","13","13","13"
"986385","13","13","13"
"986507","13","13","13"
"986566","13","13","13"
"986928","13","13","13"
"987417","0","0","0"
"987921","13","13","13"
"988467","13","13","13"
"988614","13","13","13"
"988971","13","13","13"
"989184","13","13","13"
"989360","13","13","13"
"989392","2","2","2"
"989688","13","13","13"
"990571","13","13","13"
"990727","3","3","3"
"991659","13","13","13"
"991697","13","13","13"
"992176","13","13","13"
"992336","13","13","13"
"993407","13","13","13"
"994466","3","3","3"
"994512","13","13","13"
"995059","13","13","13"
"996026","2","2","2"
"996039","13","13","13"
"996304","13","13","13"
"996543","13","13","13"
"997517","2","2","2"
"997811","13","13","13"
"997977","13","13","13"
"998689","13","13","13"
"998911","13","13","13"
"999147","13","13","13"
"999347","13","13","13"
"999441","13","13","13"
"999800","13","13","13"
"1000314","13","13","13"
"1000801","13","13","13"
"1001404","13","13","13"
"1002251","13","13","13"
"1002346","13","13","13"
"1002472","13","13","13"
"1003099","13","13","13"
"1003770","13","13","13"
"1004723","13","13","13"
"1004838","13","13","13"
"1005334","13","13","13"
"1005434","13","13","13"
"1006413","13","13","13"
"1006600","13","13","13"
"1006934","13","13","13"
"1007027","13","13","13"
"1007294","13","13","13"
"1007400","2","2","2"
"1008358","13","13","13"
"1008997","13","13","13"
"1009649","3","3","3"
"1009916","13","13","13"
"1010262","13","13","13"
"1010470","13","13","13"
"1011176","13","13","13"
"1011626","13","13","13"
"1011706","13","13","13"
"1012234","13","13","13"
"1012744","13","13","13"
"1013544","13","13","13"
"1013867","13","13","13"
"1014200","13","13","13"
"1014378","13","13","13"
"1014667","13","13","13"
"1014830","3","3","3"
"1014856","13","13","13"
"1016934","13","13","13"
"1017386","13","13","13"
"1017992","13","13","13"
"1018876","13","13","13"
"1018980","13","13","13"
"1019473","13","13","13"
"1020175","13","13","13"
"1020383","2","2","2"
"1020554","3","3","3"
"1020762","13","13","13"
"1021230","13","13","13"
"1021256","13","13","13"
"1021521","13","13","13"
"1022415","13","13","13"
"1022858","13","13","13"
"1023289","13","13","13"
"1023400","13","13","13"
"1023752","13","13","13"
"1023903","13","13","13"
"1024100","13","13","13"
"1025084","13","13","13"
"1025529","13","13","13"
"1025807","13","13","13"
"1026148","13","13","13"
"1026938","13","13","13"
"1027054","13","13","13"
"1027565","3","3","3"
"1027587","2","2","2"
"1027912","13","13","13"
"1028126","2","2","2"
"1028442","13","13","13"
"1028628","13","13","13"
"1028817","13","13","13"
"1028909","13","13","13"
"1029169","13","13","13"
"1029243","13","13","13"
"1029466","2","2","2"
"1029733","13","13","13"
"1029844","13","13","13"
"1029945","13","13","13"
"1030126","13","13","13"
"1030179","13","13","13"
"1030954","13","13","13"
"1032412","2","2","2"
"1032700","13","13","13"
"1033170","1","1","1"
"1033906","3","3","3"
"1034259","13","13","13"
"1034524","13","13","13"
"1035135","13","13","13"
"1035370","13","13","13"
"1035883","13","13","13"
"1036082","13","13","13"
"1036122","13","13","13"
"1036431","13","13","13"
"1036492","13","13","13"
"1037055","13","13","13"
"1037103","13","13","13"
"1037291","13","13","13"
"1037371","13","13","13"
"1037500","13","13","13"
"1037516","13","13","13"
"1037637","13","13","13"
"1038074","13","13","13"
"1038098","13","13","13"
"1039145","3","3","3"
"1039275","13","13","13"
"1039478","13","13","13"
"1039639","1","1","1"
"1039896","13","13","13"
"1040696","13","13","13"
"1041135","13","13","13"
"1041194","13","13","13"
"1041240","13","13","13"
"1041743","13","13","13"
"1042003","13","13","13"
"1042346","13","13","13"
"1043503","13","13","13"
"1044929","2","2","2"
"1045652","13","13","13"
"1045833","2","2","2"
"1045889","13","13","13"
"1046092","13","13","13"
"1046519","13","13","13"
"1046785","13","13","13"
"1047068","13","13","13"
"1047428","13","13","13"
"1047925","13","13","13"
"1048211","13","13","13"
"1048285","3","3","3"
"1048407","13","13","13"
"1049322","13","13","13"
"1049692","13","13","13"
"1049821","13","13","13"
"1049909","13","13","13"
"1050220","2","2","2"
"1050378","13","13","13"
"1050485","2","2","2"
"1050579","13","13","13"
"1050973","3","3","3"
"1051436","13","13","13"
"1051721","13","13","13"
"1051880","13","13","13"
"1052245","13","13","13"
"1052614","1","1","1"
"1052797","2","2","2"
"1053479","13","13","13"
"1053615","13","13","13"
"1053715","13","13","13"
"1054039","13","13","13"
"1054168","13","13","13"
"1054933","13","13","13"
"1055063","13","13","13"
"1055443","13","13","13"
"1055938","13","13","13"
"1056620","13","13","13"
"1057354","13","13","13"
"1057831","13","13","13"
"1057865","13","13","13"
"1058466","3","3","3"
"1058924","13","13","13"
"1058949","3","3","3"
"1059338","13","13","13"
"1060304","3","3","3"
"1060617","13","13","13"
"1060964","13","13","13"
"1061021","13","13","13"
"1061717","13","13","13"
"1062018","13","13","13"
"1062471","2","2","2"
"1063279","13","13","13"
"1063388","13","13","13"
"1063765","13","13","13"
"1063872","3","3","3"
"1065013","13","13","13"
"1065109","13","13","13"
"1065570","13","13","13"
"1066137","2","2","2"
"1066256","13","13","13"
"1066761","13","13","13"
"1067044","13","13","13"
"1068085","13","13","13"
"1068118","13","13","13"
"1068507","1","1","1"
"1069666","13","13","13"
"1069857","13","13","13"
"1070197","13","13","13"
"1070413","3","3","3"
"1070556","13","13","13"
"1070704","13","13","13"
"1071835","13","13","13"
"1073173","13","13","13"
"1073314","13","13","13"
"1074401","13","13","13"
"1074717","13","13","13"
"1075061","13","13","13"
"1075426","13","13","13"
"1076310","13","13","13"
"1077269","13","13","13"
"1077333","10","10","10"
"1078625","13","13","13"
"1078997","13","13","13"
"1079303","13","13","13"
"1079388","13","13","13"
"1079969","13","13","13"
"1080261","13","13","13"
"1080842","13","13","13"
"1080934","1","1","1"
"1083366","13","13","13"
"1083723","2","2","2"
"1084446","13","13","13"
"1084613","13","13","13"
"1085034","13","13","13"
"1086238","13","13","13"
"1086768","13","13","13"
"1087157","13","13","13"
"1087899","13","13","13"
"1089642","13","13","13"
"1089694","13","13","13"
"1089742","13","13","13"
"1089823","13","13","13"
"1090549","13","13","13"
"1091170","13","13","13"
"1091414","13","13","13"
"1091912","3","3","3"
"1092430","13","13","13"
"1093945","3","3","3"
"1094030","13","13","13"
"1094714","13","13","13"
"1094773","1","1","1"
"1094883","3","3","3"
"1095210","13","13","13"
"1095365","13","13","13"
"1095917","13","13","13"
"1096094","13","13","13"
"1096426","13","13","13"
"1096709","13","13","13"
"1097898","13","13","13"
"1098261","13","13","13"
"1098371","13","13","13"
"1099193","13","13","13"
"1099337","13","13","13"
"1099525","13","13","13"
"1100490","13","13","13"
"1101113","13","13","13"
"1102036","13","13","13"
"1102394","13","13","13"
"1102898","13","13","13"
"1102921","13","13","13"
"1103145","2","2","2"
"1104469","13","13","13"
"1104798","13","13","13"
"1105187","13","13","13"
"1105403","13","13","13"
"1105750","13","13","13"
"1106094","13","13","13"
"1107505","13","13","13"
"1107538","13","13","13"
"1107676","13","13","13"
"1108117","10","10","10"
"1108293","13","13","13"
"1108408","13","13","13"
"1108529","13","13","13"
"1108909","13","13","13"
"1109012","13","13","13"
"1110785","2","2","2"
"1110946","13","13","13"
"1111096","13","13","13"
"1111482","13","13","13"
"1111739","13","13","13"
"1111772","13","13","13"
"1111868","3","3","3"
"1112129","13","13","13"
"1112319","13","13","13"
"1112418","13","13","13"
"1112724","13","13","13"
"1112813","13","13","13"
"1113148","13","13","13"
"1113315","13","13","13"
"1113914","13","13","13"
"1114052","2","2","2"
"1114129","13","13","13"
"1114332","13","13","13"
"1114469","13","13","13"
"1115314","13","13","13"
"1115764","13","13","13"
"1115885","13","13","13"
"1116154","13","13","13"
"1116613","13","13","13"
"1116797","3","3","3"
"1116828","13","13","13"
"1116920","13","13","13"
"1117052","13","13","13"
"1117119","13","13","13"
"1117549","13","13","13"
"1117800","3","3","3"
"1117856","13","13","13"
"1118006","3","3","3"
"1118168","3","3","3"
"1118243","13","13","13"
"1118783","13","13","13"
"1119264","13","13","13"
"1119670","13","13","13"
"1119813","13","13","13"
"1119986","13","13","13"
"1120045","13","13","13"
"1120539","13","13","13"
"1122173","13","13","13"
"1122319","3","3","3"
"1122751","13","13","13"
"1122776","13","13","13"
"1122844","13","13","13"
"1123766","13","13","13"
"1124391","2","2","2"
"1125556","13","13","13"
"1126159","13","13","13"
"1127004","13","13","13"
"1127119","13","13","13"
"1127500","13","13","13"
"1127613","13","13","13"
"1127788","2","2","2"
"1127872","2","2","2"
"1127938","13","13","13"
"1128708","13","13","13"
"1128876","13","13","13"
"1129304","3","3","3"
"1130106","13","13","13"
"1131514","13","13","13"
"1131896","13","13","13"
"1132084","13","13","13"
"1132315","13","13","13"
"1132556","13","13","13"
"1132768","13","13","13"
"1132836","3","3","3"
"1133287","13","13","13"
"1134032","13","13","13"
"1134124","13","13","13"
"1134375","13","13","13"
"1134849","3","3","3"
"1135027","2","2","2"
"1135423","13","13","13"
"1135696","13","13","13"
"1135878","13","13","13"
"1136347","13","13","13"
"1136384","13","13","13"
"1136556","13","13","13"
"1137052","13","13","13"
"1137127","13","13","13"
"1138531","13","13","13"
"1138618","13","13","13"
"1138777","3","3","3"
"1138879","13","13","13"
"1138980","13","13","13"
"1139014","13","13","13"
"1139128","13","13","13"
"1140192","13","13","13"
"1140583","13","13","13"
"1140636","13","13","13"
"1141517","13","13","13"
"1141968","13","13","13"
"1142458","13","13","13"
"1142654","3","3","3"
"1143195","13","13","13"
"1143376","13","13","13"
"1143737","13","13","13"
"1144513","13","13","13"
"1144867","13","13","13"
"1145204","13","13","13"
"1146333","13","13","13"
"1146566","13","13","13"
"1147006","13","13","13"
"1147143","13","13","13"
"1148125","13","13","13"
"1148286","13","13","13"
"1148464","13","13","13"
"1149044","13","13","13"
"1149197","13","13","13"
"1149515","13","13","13"
"1149600","13","13","13"
"1150214","13","13","13"
"1150526","13","13","13"
"1151286","13","13","13"
"1151440","3","3","3"
"1151668","13","13","13"
"1153414","13","13","13"
"1153763","13","13","13"
"1153880","13","13","13"
"1154675","13","13","13"
"1155035","2","2","2"
"1155736","13","13","13"
"1155912","3","3","3"
"1156960","13","13","13"
"1158030","3","3","3"
"1159627","13","13","13"
"1160856","13","13","13"
"1161395","13","13","13"
"1161657","13","13","13"
"1164473","13","13","13"
"1164803","0","0","0"
"1164888","13","13","13"
"1165517","13","13","13"
"1165994","13","13","13"
"1166207","13","13","13"
"1166234","3","3","3"
"1166797","13","13","13"
"1167179","13","13","13"
"1167775","2","2","2"
"1167821","13","13","13"
"1168875","3","3","3"
"1169085","13","13","13"
"1169432","13","13","13"
"1169672","13","13","13"
"1169983","13","13","13"
"1170094","1","1","1"
"1170203","13","13","13"
"1171465","13","13","13"
"1171590","13","13","13"
"1172473","13","13","13"
"1172907","13","13","13"
"1173183","13","13","13"
"1173699","13","13","13"
"1174593","13","13","13"
"1175904","13","13","13"
"1176024","13","13","13"
"1176418","3","3","3"
"1176520","13","13","13"
"1176724","2","2","2"
"1177257","13","13","13"
"1177358","13","13","13"
"1177672","13","13","13"
"1177801","13","13","13"
"1177967","2","2","2"
"1178030","13","13","13"
"1178070","2","2","2"
"1178283","13","13","13"
"1178533","2","2","2"
"1178751","13","13","13"
"1179474","13","13","13"
"1179542","13","13","13"
"1179874","13","13","13"
"1180211","13","13","13"
"1180230","13","13","13"
"1181204","13","13","13"
"1181433","13","13","13"
"1181513","13","13","13"
"1182185","0","0","0"
"1182292","13","13","13"
"1182424","13","13","13"
"1182495","13","13","13"
"1182678","13","13","13"
"1182801","13","13","13"
"1183603","13","13","13"
"1184045","3","3","3"
"1184917","3","3","3"
"1185233","13","13","13"
"1186008","13","13","13"
"1186261","13","13","13"
"1187173","13","13","13"
"1187604","13","13","13"
"1187703","13","13","13"
"1187769","13","13","13"
"1188241","13","13","13"
"1188339","13","13","13"
"1188540","13","13","13"
"1188576","13","13","13"
"1189618","13","13","13"
"1189910","13","13","13"
"1190083","13","13","13"
"1190363","13","13","13"
"1191119","2","2","2"
"1191192","13","13","13"
"1192635","13","13","13"
"1193640","2","2","2"
"1194261","13","13","13"
"1194324","13","13","13"
"1194563","10","10","10"
"1194831","13","13","13"
"1195068","13","13","13"
"1195319","13","13","13"
"1195412","13","13","13"
"1195705","13","13","13"
"1195816","13","13","13"
"1195874","13","13","13"
"1196355","13","13","13"
"1196791","13","13","13"
"1196952","13","13","13"
"1197856","13","13","13"
"1197958","13","13","13"
"1198939","13","13","13"
"1200015","13","13","13"
"1200384","3","3","3"
"1200469","13","13","13"
"1201640","13","13","13"
"1201979","13","13","13"
"1202044","13","13","13"
"1202777","3","3","3"
"1202976","13","13","13"
"1203202","13","13","13"
"1203672","13","13","13"
"1203856","13","13","13"
"1204000","13","13","13"
"1204539","13","13","13"
"1204687","13","13","13"
"1204791","3","3","3"
"1205904","13","13","13"
"1206191","13","13","13"
"1206944","13","13","13"
"1207159","13","13","13"
"1207976","13","13","13"
"1208720","13","13","13"
"1209088","13","13","13"
"1210584","13","13","13"
"1210886","13","13","13"
"1211172","13","13","13"
"1211579","13","13","13"
"1211608","13","13","13"
"1211648","13","13","13"
"1213383","2","2","2"
"1213734","13","13","13"
"1214279","13","13","13"
"1214663","1","1","1"
"1214784","13","13","13"
"1214907","13","13","13"
"1214967","13","13","13"
"1215286","3","3","3"
"1215668","0","0","0"
"1217015","13","13","13"
"1217219","13","13","13"
"1217763","3","3","3"
"1219811","13","13","13"
"1220611","13","13","13"
"1220952","13","13","13"
"1221769","13","13","13"
"1222154","1","1","1"
"1222236","13","13","13"
"1222312","13","13","13"
"1222531","13","13","13"
"1223479","13","13","13"
"1223664","3","3","3"
"1223709","13","13","13"
"1224614","13","13","13"
"1225141","13","13","13"
"1225252","13","13","13"
"1225543","3","3","3"
"1225652","13","13","13"
"1226909","13","13","13"
"1227255","13","13","13"
"1228123","13","13","13"
"1228629","13","13","13"
"1229032","13","13","13"
"1229194","13","13","13"
"1229559","13","13","13"
"1229731","13","13","13"
"1230234","2","2","2"
"1230312","13","13","13"
"1231179","2","2","2"
"1232035","13","13","13"
"1233269","13","13","13"
"1234084","13","13","13"
"1234778","13","13","13"
"1234957","3","3","3"
"1235189","13","13","13"
"1235240","13","13","13"
"1235722","13","13","13"
"1235925","13","13","13"
"1236330","13","13","13"
"1236469","13","13","13"
"1238142","13","13","13"
"1238493","13","13","13"
"1238632","13","13","13"
"1238682","13","13","13"
"1238833","13","13","13"
"1239523","13","13","13"
"1240026","13","13","13"
"1240203","13","13","13"
"1240360","13","13","13"
"1241315","13","13","13"
"1242030","2","2","2"
"1242074","13","13","13"
"1242282","13","13","13"
"1242751","2","2","2"
"1242955","13","13","13"
"1243037","13","13","13"
"1243469","13","13","13"
"1244726","13","13","13"
"1244779","13","13","13"
"1245375","13","13","13"
"1245742","13","13","13"
"1247103","13","13","13"
"1247262","3","3","3"
"1247421","13","13","13"
"1247465","3","3","3"
"1247886","13","13","13"
"1248182","13","13","13"
"1248219","13","13","13"
"1248395","13","13","13"
"1249925","13","13","13"
"1250474","13","13","13"
"1251397","13","13","13"
"1251610","13","13","13"
"1252137","13","13","13"
"1252890","13","13","13"
"1253618","2","2","2"
"1253771","13","13","13"
"1253993","13","13","13"
"1254291","3","3","3"
"1255243","13","13","13"
"1256201","13","13","13"
"1256511","13","13","13"
"1256549","13","13","13"
"1256708","2","2","2"
"1257303","13","13","13"
"1257838","13","13","13"
"1257924","13","13","13"
"1258437","13","13","13"
"1258915","13","13","13"
"1259005","13","13","13"
"1259479","13","13","13"
"1260159","13","13","13"
"1260387","13","13","13"
"1260694","2","2","2"
"1260974","13","13","13"
"1261369","13","13","13"
"1261396","13","13","13"
"1261646","13","13","13"
"1262174","13","13","13"
"1262231","13","13","13"
"1262591","13","13","13"
"1262781","13","13","13"
"1263118","13","13","13"
"1263959","13","13","13"
"1264132","13","13","13"
"1265085","13","13","13"
"1265228","1","1","1"
"1265623","13","13","13"
"1266035","13","13","13"
"1266116","13","13","13"
"1267107","13","13","13"
"1267780","13","13","13"
"1267927","13","13","13"
"1269129","13","13","13"
"1270124","3","3","3"
"1270499","13","13","13"
"1270944","2","2","2"
"1271426","3","3","3"
"1271556","13","13","13"
"1271789","2","2","2"
"1272227","13","13","13"
"1272568","13","13","13"
"1272608","13","13","13"
"1272720","2","2","2"
"1273071","13","13","13"
"1273378","2","2","2"
"1273471","13","13","13"
"1274339","13","13","13"
"1274482","13","13","13"
"1275580","13","13","13"
"1275806","13","13","13"
"1277282","13","13","13"
"1277638","3","3","3"
"1277698","13","13","13"
"1277869","13","13","13"
"1278220","13","13","13"
"1278776","13","13","13"
"1278784","3","3","3"
"1278907","2","2","2"
"1279036","13","13","13"
"1279750","13","13","13"
"1279903","13","13","13"
"1280160","13","13","13"
"1280419","13","13","13"
"1280888","13","13","13"
"1280960","13","13","13"
"1281074","13","13","13"
"1281439","13","13","13"
"1281507","13","13","13"
"1283360","13","13","13"
"1284895","13","13","13"
"1285056","13","13","13"
"1285344","13","13","13"
"1285859","13","13","13"
"1286802","1","1","1"
"1286924","13","13","13"
"1287727","13","13","13"
"1288419","13","13","13"
"1288636","13","13","13"
"1288960","13","13","13"
"1289543","3","3","3"
"1289839","13","13","13"
"1290053","13","13","13"
"1290339","13","13","13"
"1290564","13","13","13"
"1290940","13","13","13"
"1291206","13","13","13"
"1291308","13","13","13"
"1291416","3","3","3"
"1292190","13","13","13"
"1292352","13","13","13"
"1292428","13","13","13"
"1292486","13","13","13"
"1292656","3","3","3"
"1293671","13","13","13"
"1293724","13","13","13"
"1294010","13","13","13"
"1294182","2","2","2"
"1294412","13","13","13"
"1294467","13","13","13"
"1294563","13","13","13"
"1294812","2","2","2"
"1295156","13","13","13"
"1295236","13","13","13"
"1295546","13","13","13"
"1295916","13","13","13"
"1296068","13","13","13"
"1296326","13","13","13"
"1296396","13","13","13"
"1296486","13","13","13"
"1296739","13","13","13"
"1297990","13","13","13"
"1298496","2","2","2"
"1298620","1","1","1"
"1298764","13","13","13"
"1298906","13","13","13"
"1299110","13","13","13"
"1299925","2","2","2"
"1300076","13","13","13"
"1300469","2","2","2"
"1301159","13","13","13"
"1301424","13","13","13"
"1301756","13","13","13"
"1301888","13","13","13"
"1302142","1","1","1"
"1302197","13","13","13"
"1302791","13","13","13"
"1303296","13","13","13"
"1303676","13","13","13"
"1304065","3","3","3"
"1304320","13","13","13"
"1304678","13","13","13"
"1305022","13","13","13"
"1305638","13","13","13"
"1306197","13","13","13"
"1306590","13","13","13"
"1306753","13","13","13"
"1307176","13","13","13"
"1309475","13","13","13"
"1309697","13","13","13"
"1311664","13","13","13"
"1311930","13","13","13"
"1312956","2","2","2"
"1313472","13","13","13"
"1313608","13","13","13"
"1313847","13","13","13"
"1313889","13","13","13"
"1314895","13","13","13"
"1315944","13","13","13"
"1316239","13","13","13"
"1316528","13","13","13"
"1316772","13","13","13"
"1317217","13","13","13"
"1318128","13","13","13"
"1319243","0","0","0"
"1319856","13","13","13"
"1320075","1","1","1"
"1320247","13","13","13"
"1320394","13","13","13"
"1321226","13","13","13"
"1321342","13","13","13"
"1321641","2","2","2"
"1321776","13","13","13"
"1322172","13","13","13"
"1322435","13","13","13"
"1322698","13","13","13"
"1323099","13","13","13"
"1323432","13","13","13"
"1323620","13","13","13"
"1323651","13","13","13"
"1323795","13","13","13"
"1324848","13","13","13"
"1324974","2","2","2"
"1325077","13","13","13"
"1325369","3","3","3"
"1325450","13","13","13"
"1325866","1","1","1"
"1326045","13","13","13"
"1326204","13","13","13"
"1327118","1","1","1"
"1327701","13","13","13"
"1327763","3","3","3"
"1327850","13","13","13"
"1328462","13","13","13"
"1328518","13","13","13"
"1328938","13","13","13"
"1329678","13","13","13"
"1329987","13","13","13"
"1330374","13","13","13"
"1330651","13","13","13"
"1331133","3","3","3"
"1332227","13","13","13"
"1332573","13","13","13"
"1332970","0","0","0"
"1333204","13","13","13"
"1333463","3","3","3"
"1334740","13","13","13"
"1334905","13","13","13"
"1334997","13","13","13"
"1335126","13","13","13"
"1335182","13","13","13"
"1336249","13","13","13"
"1336406","13","13","13"
"1336859","13","13","13"
"1337392","13","13","13"
"1337737","2","2","2"
"1337814","13","13","13"
"1337923","13","13","13"
"1338380","13","13","13"
"1338601","13","13","13"
"1339001","13","13","13"
"1339029","13","13","13"
"1340138","13","13","13"
"1340236","13","13","13"
"1340465","13","13","13"
"1340880","3","3","3"
"1341014","13","13","13"
"1341168","13","13","13"
"1341443","13","13","13"
"1343438","13","13","13"
"1344301","13","13","13"
"1344377","13","13","13"
"1344444","13","13","13"
"1344770","3","3","3"
"1345494","13","13","13"
"1345933","13","13","13"
"1346235","13","13","13"
"1346477","13","13","13"
"1346807","3","3","3"
"1346827","13","13","13"
"1346940","13","13","13"
"1347323","13","13","13"
"1347629","13","13","13"
"1348180","3","3","3"
"1348601","13","13","13"
"1349196","13","13","13"
"1350431","2","2","2"
"1350568","13","13","13"
"1351289","13","13","13"
"1351318","13","13","13"
"1351755","13","13","13"
"1352722","2","2","2"
"1353144","3","3","3"
"1353273","13","13","13"
"1353585","13","13","13"
"1353839","2","2","2"
"1354080","13","13","13"
"1354495","13","13","13"
"1354935","13","13","13"
"1355257","13","13","13"
"1355365","2","2","2"
"1356059","13","13","13"
"1356343","13","13","13"
"1357134","13","13","13"
"1357445","3","3","3"
"1357551","13","13","13"
"1358071","13","13","13"
"1358296","13","13","13"
"1359356","13","13","13"
"1359607","13","13","13"
"1359771","13","13","13"
"1360604","3","3","3"
"1360687","13","13","13"
"1360760","13","13","13"
"1361998","13","13","13"
"1362408","13","13","13"
"1362523","13","13","13"
"1364076","3","3","3"
"1364122","13","13","13"
"1364322","13","13","13"
"1364622","13","13","13"
"1364782","13","13","13"
"1366708","13","13","13"
"1366958","13","13","13"
"1367987","13","13","13"
"1368027","13","13","13"
"1368113","2","2","2"
"1368750","13","13","13"
"1369007","13","13","13"
"1369041","13","13","13"
"1369581","13","13","13"
"1369656","13","13","13"
"1369692","13","13","13"
"1370414","13","13","13"
"1370522","13","13","13"
"1371327","13","13","13"
"1371439","13","13","13"
"1371505","13","13","13"
"1371804","13","13","13"
"1372147","13","13","13"
"1373201","13","13","13"
"1373421","13","13","13"
"1373475","3","3","3"
"1373542","3","3","3"
"1373685","13","13","13"
"1374420","13","13","13"
"1374580","13","13","13"
"1374811","13","13","13"
"1375403","1","1","1"
"1375577","13","13","13"
"1375668","1","1","1"
"1375892","13","13","13"
"1376539","13","13","13"
"1377009","13","13","13"
"1377263","13","13","13"
"1377336","13","13","13"
"1377422","13","13","13"
"1377515","13","13","13"
"1377542","13","13","13"
"1377714","13","13","13"
"1378022","13","13","13"
"1378119","13","13","13"
"1378673","13","13","13"
"1378738","13","13","13"
"1379160","13","13","13"
"1379635","13","13","13"
"1379918","13","13","13"
"1380081","13","13","13"
"1380828","13","13","13"
"1381316","13","13","13"
"1381419","10","10","10"
"1381504","3","3","3"
"1381910","13","13","13"
"1382321","13","13","13"
"1382366","13","13","13"
"1382458","13","13","13"
"1382774","2","2","2"
"1383190","13","13","13"
"1383403","13","13","13"
"1383902","13","13","13"
"1384241","13","13","13"
"1384315","13","13","13"
"1384598","13","13","13"
"1385085","13","13","13"
"1385267","13","13","13"
"1385416","1","1","1"
"1386168","13","13","13"
"1386376","13","13","13"
"1386803","13","13","13"
"1386849","2","2","2"
"1387422","13","13","13"
"1387484","13","13","13"
"1387815","13","13","13"
"1388510","13","13","13"
"1389145","13","13","13"
"1389283","13","13","13"
"1389450","3","3","3"
"1389512","13","13","13"
"1389937","13","13","13"
"1390171","13","13","13"
"1391048","13","13","13"
"1391232","13","13","13"
"1391322","13","13","13"
"1391754","13","13","13"
"1392008","13","13","13"
"1392420","3","3","3"
"1392537","13","13","13"
"1393119","13","13","13"
"1393226","13","13","13"
"1393408","13","13","13"
"1393563","13","13","13"
"1394003","13","13","13"
"1395803","13","13","13"
"1395962","13","13","13"
"1396280","13","13","13"
"1396573","2","2","2"
"1397084","13","13","13"
"1397491","13","13","13"
"1398002","13","13","13"
"1398518","13","13","13"
"1400184","13","13","13"
"1400239","13","13","13"
"1400694","13","13","13"
"1401664","13","13","13"
"1401851","13","13","13"
"1402358","13","13","13"
"1402396","13","13","13"
"1402601","3","3","3"
"1403064","13","13","13"
"1404082","13","13","13"
"1404265","13","13","13"
"1404472","13","13","13"
"1404880","3","3","3"
"1405043","13","13","13"
"1405362","13","13","13"
"1405819","2","2","2"
"1405863","13","13","13"
"1406436","13","13","13"
"1407152","13","13","13"
"1407190","13","13","13"
"1407248","13","13","13"
"1407729","13","13","13"
"1407987","13","13","13"
"1408607","13","13","13"
